Question,Question Type,Answer,Status,Notes
What is the case of damaged asset?,IT Policy,"Answer:
In case of a damaged asset, employees are required to inform the System Admin about the damaged/broken asset immediately within 1 business day at systemadmin@ideas2it.com, marking a copy to their reporting manager. Employees are responsible for bearing the expenses towards broken/damaged assets at actuals and in the used condition during their employment with Ideas2IT Technology Services Private Limited. The company 
reserves the right of denial based on the outcome of due diligence, company status, etc. (Internal, page 2)

Source References:

Source 1:
- Document: IT Policy.pdf
- Page: 2
- Chunk Index: 3
- Snippet:
Internal
 2
• Employees are responsible for proper care of IT Assets issued, including repair or
replacement of IT assets damaged as a result of ne [...] c) Recovery of Amount in case of damage/broken/loss/stolen
• Employees have to bear the expenses towards broken/damaged assets at actuals and in the


Source 2:
- Document: IT Policy.pdf
- Page: 1
- Chunk Index: 2
- Snippet:
used during his/ her employment with Ideas2IT Technology Services Private Limited.
a) Case of damage/broken asset:
• Employees shall inform System Admin  about the damaged/broken asset immediately
(within 1 business day) at systemadmin@ideas2it.com, marking copy to his/her reporting
manager.


Source 3:
- Document: Staff Loan Policy.pdf
- Page: 2
 2
• Employees are responsible for proper care of IT Assets issued, including repair or
replacement of IT assets damaged as a result of ne [...] c) Recovery of Amount in case of damage/broken/loss/stolen
• Employees have to bear the expenses towards broken/damaged assets at actuals and in the


Source 2:
- Document: IT Policy.pdf
- Page: 1
- Chunk Index: 2
- Snippet:
used during his/ her employment with Ideas2IT Technology Services Private Limited.
a) Case of damage/broken asset:
• Employees shall inform System Admin  about the damaged/broken asset immediately
(within 1 business day) at systemadmin@ideas2it.com, marking copy to his/her reporting
manager.


Source 3:
- Document: Staff Loan Policy.pdf
- Page: 2
- Snippet:
used during his/ her employment with Ideas2IT Technology Services Private Limited.
a) Case of damage/broken asset:
• Employees shall inform System Admin  about the damaged/broken asset immediately
(within 1 business day) at systemadmin@ideas2it.com, marking copy to his/her reporting
manager.


Source 3:
- Document: Staff Loan Policy.pdf
- Page: 2


Source 3:
- Document: Staff Loan Policy.pdf
- Page: 2
- Document: Staff Loan Policy.pdf
- Page: 2
- Page: 2
- Chunk Index: 29
- Snippet:
reserve the right of denial based on the outcome of the due diligence, company status etc.
• In case of any defaults in repayment of loans, managem [...] eb/interest-rates/interest-rates/loan-schemes-interest-rates/personal-loans- 
schemes - (Applicable for the Quarter Jul’22 – Sep’22)(Dated 21-Jul-2022)

Ask a question (or type 'exit'):





- Chunk Index: 29
- Snippet:
reserve the right of denial based on the outcome of the due diligence, company status etc.
• In case of any defaults in repayment of loans, managem [...] eb/interest-rates/interest-rates/loan-schemes-interest-rates/personal-loans- 
schemes - (Applicable for the Quarter Jul’22 – Sep’22)(Dated 21-Jul-2022)

Ask a question (or type 'exit'):




- Chunk Index: 29
- Snippet:
reserve the right of denial based on the outcome of the due diligence, company status etc.
• In case of any defaults in repayment of loans, managem [...] eb/interest-rates/interest-rates/loan-schemes-interest-rates/personal-loans- 
schemes - (Applicable for the Quarter Jul’22 – Sep’22)(Dated 21-Jul-2022)

Ask a question (or type 'exit'):


- Chunk Index: 29
- Snippet:
reserve the right of denial based on the outcome of the due diligence, company status etc.
• In case of any defaults in repayment of loans, managem [...] eb/interest-rates/interest-rates/loan-schemes-interest-rates/personal-loans- 
schemes - (Applicable for the Quarter Jul’22 – Sep’22)(Dated 21-Jul-2022)

Ask a question (or type 'exit'):
- Chunk Index: 29
- Snippet:
reserve the right of denial based on the outcome of the due diligence, company status etc.
• In case of any defaults in repayment of loans, managem [...] eb/interest-rates/interest-rates/loan-schemes-interest-rates/personal-loans- 
- Chunk Index: 29
- Snippet:
reserve the right of denial based on the outcome of the due diligence, company status etc.
- Chunk Index: 29
- Snippet:
- Chunk Index: 29
- Chunk Index: 29
- Chunk Index: 29
- Snippet:
reserve the right of denial based on the outcome of the due diligence, company status etc.
• In case of any defaults in repayment of loans, managem [...] eb/interest-rates/interest-rates/loan-schemes-interest-rates/personal-loans- 
schemes - (Applicable for the Quarter Jul’22 – Sep’22)(Dated 21-Jul-2022)",Accurate Response,The application could fetch the exact expected answer that we required along with the sources.
Will I get loan application for my child education?,Staff Loan Policy,"Answer:
Yes, you may be eligible to apply for a loan for your child's education as per the staff loan policy guidelines outlined in the document provided. Loans for child education are one of the instances in which loans may be granted at the sole discretion of the management. The maximum eligible loan amount is INR 2 Lakhs, and the loan recovery period is a maximum of 12 EMI's (12 months). However, please note that the final decision on loan approval rests with the management. (Internal Staff Loan Policy, Page 1)

Source References:

Source 1:
- Document: Staff Loan Policy.pdf
- Page: 1
- Chunk Index: 25
- Snippet:
completed a minimum of one year as on the date of loan application.
• New loan will be sanctioned only after 100% repayment of the previous loan and [...]  Any installments which are greater than 12 months shall
attract an interest at the rate of 10.25%, which will be deducted from the salary along with


Source 2:
- Document: Rewards and Recognition Policy.pdf
- Page: 3
- Chunk Index: 23
- Snippet:
.  You will be eligible for the Long Service award upon completing 3 years of continuous services in the organization from your date of joining.


Source 3:
- Document: Leave Policy - I2I.pdf
- Page: 3
- Chunk Index: 23
- Snippet:
.  You will be eligible for the Long Service award upon completing 3 years of continuous services in the organization from your date of joining.


Source 3:
- Document: Leave Policy - I2I.pdf
- Snippet:
.  You will be eligible for the Long Service award upon completing 3 years of continuous services in the organization from your date of joining.


Source 3:
- Document: Leave Policy - I2I.pdf
ing.


Source 3:
- Document: Leave Policy - I2I.pdf
- Page: 2

Source 3:
- Document: Leave Policy - I2I.pdf
- Page: 2
- Document: Leave Policy - I2I.pdf
- Page: 2
- Page: 2
- Chunk Index: 11
- Snippet:
care of your child, you could apply for a special leave with no pay, after exhausting your
PL credit. Your total period of absence in such cases cann [...] mother could avail a Maternity Leave of 12 weeks. Your leave starts        
from the day of adoption till your adopted child reaches the age of three months.
from the day of adoption till your adopted child reaches the age of three months.





Source 5:
Source 5:
- Document: Staff Loan Policy.pdf
- Page: 2
- Chunk Index: 28
- Snippet:
• Relieving letter and formalities of clearance will not be completed unless all such dues  are
settled.
• All taxes as per Govt. Law will be appli [...] approved at the sole discretion of the management and they
reserve the right of denial based on the outcome of the due diligence, company status etc.",Accurate Response,The application could fetch the exact expected answer that we required along with the sources.
How many days of paternity leaves are given for men?,Leave Policy,"Answer:
Men are eligible for 5 days of paternity leave, which can be availed within four weeks before or after their spouse's delivery or within four weeks of adopting a child. Failure to take paternity leave during these periods will result in forfeiture. (Source: Leave Policy, Paternity Leave section)

Source References:

Source 1:
- Document: Leave Policy - I2I.pdf
- Page: 3
- Chunk Index: 13
- Snippet:
delivery / adoption. You must obtain a prior appro [...]  during this period will be
considered forfeited.


Source 2:
- Document: Rewards and Recognition Policy.pdf
- Page: 2
- Chunk Index: 18
- Snippet:
. • Please refer the ‘Note’ on the eligibility and [...] pril and May will receive their reward in June.  3


Source 3:
- Document: Leave Policy - I2I.pdf
- Page: 1
- Chunk Index: 8
- Snippet:
Leave Policy


Leave Policy
This policy sets  [...] d to your leave balance at the rate of 0.5 day per


Source 4:
- Document: Staff Loan Policy.pdf
- Page: 1
- Chunk Index: 25
- Snippet:
completed a minimum of one year as on the date of  [...]  which will be deducted from the salary along with


Source 5:
- Document: Leave Policy - I2I.pdf
- Page: 2
- Chunk Index: 10
- Snippet:
Maternity Leave
If you are Pregnant

1. Please [...] a special leave with no pay, after exhausting your",Accurate Response,The application could fetch the exact expected answer that we required along with the sources.
Who approved the document version of Rewards and Recognition Policy?,Rewards & Recognition Policy,"Answer:
The document version of the Rewards and Recognition Policy was approved by Arun Ganesan. (Internal Rewards and Recognition Policy Document, 
Version 1.0, Release Date 07-10-2021)

Source References:

Source 1:
- Document: Rewards and Recognition Policy.pdf
- Page: 3
- Chunk Index: 21
- Snippet:
Note : • Any reward/gift (perquisites) received fr [...] ice award upon completing 3/5/7/10/12/15 years.  2


Source 2:
- Document: Rewards and Recognition Policy.pdf
- Page: 1
- Chunk Index: 15
- Snippet:
Result Oriented
Innovation
Ownership & Commitment
Above & Beyond
Initiative
Extra Miles
Collaboration
Catalyst for Change


Source 3:
- Document: Rewards and Recognition Policy.pdf
- Page: 2
- Chunk Index: 19
- Snippet:
. • December, January and February will receive th [...] er the ‘Note’ on eligibility and tax implications.


Source 4:
- Document: IT Policy.pdf
- Page: 3
- Chunk Index: 7
- Snippet:
Disclaimer:
The applicability, eligibility of the [...]  immediately, upon receipt
of notice of the same.",Accurate Response,The application could fetch the exact expected answer that we required along with the sources.
When will I get gold coin as award?,Rewards & Recognition Policy,"Answer:
You will receive a 4 gram Gold Coin as an award upon completion of 3 years of service with the organization. If you complete 3 years of service in June, July, or August, you will receive the reward in September. Please refer to the document for more details (Page 3).

Source References:

Source 1:
- Document: Rewards and Recognition Policy.pdf
- Page: 2
- Chunk Index: 18
- Snippet:
. • Please refer the ‘Note’ on the eligibility and [...] pril and May will receive their reward in June.  3


Source 2:
- Document: IT Policy.pdf
- Page: 1
- Chunk Index: 0
- Snippet:
Internal
 1
IT Policy

Document and Version Hi [...] g to get the required assets (Laptop, Laptop Bag &


Source 4:
- Document: Staff Loan Policy.pdf
- Page: 1
- Chunk Index: 25
- Snippet:
completed a minimum of one year as on the date of  [...]  which will be deducted from the salary along with


Source 5:
- Document: Leave Policy - I2I.pdf
- Page: 1
- Chunk Index: 9
- Snippet:
the next year, if not used. They will be credited  [...] rward to
the next year, or combined with  and PL.",Accurate Response,The application could fetch the exact expected answer that we required along with the sources.
I lost my asset when I was travelling in train. What should I do?,IT Policy,"Answer:
In case of a lost or stolen asset, employees are required to inform the system admin team, reporting manager, and HR team immediately within 1 business day. Employees should also file an FIR at the nearby police station and submit a copy of the FIR to the System Admin team and HR team within 2 business days. The System Admin department will freeze all communication to the lost or stolen IT asset. This information can be found in the IT Policy document under the section ""Case of stolen/loss of asset"" on page 2.

Source References:

Source 1:
- Document: IT Policy.pdf
- Page: 2
- Chunk Index: 3
- Snippet:
Internal
 2
• Employees are responsible for prop [...] owards broken/damaged assets at actuals and in the


Source 2:
- Document: Leave Policy - I2I.pdf
- Page: 1
- Chunk Index: 8
- Snippet:
Leave Policy


Leave Policy
This policy sets  [...] d to your leave balance at the rate of 0.5 day per


Source 3:
- Document: Rewards and Recognition Policy.pdf
- Page: 1
- Chunk Index: 14
- Snippet:
Internal
 1
Rewards and Recognition Policy  Docu [...] esult Oriented
Innovation
Ownership & Commitment


Source 5:
- Document: IT Policy.pdf
- Page: 1
- Chunk Index: 0
- Snippet:
Internal
 1
IT Policy

Document and Version Hi [...] g to get the required assets (Laptop, Laptop Bag &",Accurate Response,The application could fetch the exact expected answer that we required along with the sources.
What is the procedure to apply for a sick leave?,Leave Policy,"Answer:
To apply for a sick leave, you must provide suitable supporting documentation such as a doctor's prescription or a discharge summary if you 
are admitted for over 5 continuous working days for medical reasons. Failure to provide this documentation may result in the deduction of sick leave days from your CL/PL balance. Sick leaves cannot be carried forward to the next year or combined with CL/PL. (Source: Internal Document - Staff Loan Policy, Page 1)

Source References:

Source 1:
- Document: Leave Policy - I2I.pdf
- Page: 1
- Chunk Index: 9
- Snippet:
the next year, if not used. They will be credited  [...] rward to
the next year, or combined with  and PL.


Source 2:
- Document: Staff Loan Policy.pdf
- Page: 1
- Chunk Index: 24
- Snippet:
Internal
 1
Staff Loan Policy

Document and Ve [...] um of one year as on the date of loan application.


Source 3:
- Document: Leave Policy - I2I.pdf
- Page: 3
- Chunk Index: 13
- Snippet:
delivery / adoption. You must obtain a prior appro [...]  during this period will be
considered forfeited.


Source 4:
- Document: Staff Loan Policy.pdf
- Page: 2
- Chunk Index: 27
- Snippet:
Internal
 2
tenure. In case, if an employee deci [...] t be completed unless all such dues  are
settled.


Source 5:
- Document: Leave Policy - I2I.pdf
- Page: 2
- Chunk Index: 10
- Snippet:
Maternity Leave
If you are Pregnant

1. Please [...] a special leave with no pay, after exhausting your",Accurate Response,The application could fetch the exact expected answer that we required along with the sources.
I have already been sanctioned for a loan. Will I be able to apply for an another loan in Ideas2IT?,Staff Loan Policy,"Answer:
Based on the Staff Loan Policy of Ideas2IT, new loans will be sanctioned only after 100% repayment of the previous loan and there must be a 
3 months gap before availing the next loan. Additionally, employees can avail up to a maximum of only 1 loan within a financial year. Therefore, if you have already been sanctioned for a loan, you will need to repay it in full and wait for a 3-month gap before applying for another loan at Ideas2IT. (Reference: Internal Staff Loan Policy, Ideas2IT)

Source References:

Source 1:
- Document: Staff Loan Policy.pdf
- Page: 1
- Chunk Index: 24
- Snippet:
Internal
 1
Staff Loan Policy

Document and Ve [...] um of one year as on the date of loan application.


Source 2:
- Document: Rewards and Recognition Policy.pdf
- Page: 3
- Chunk Index: 22
- Snippet:
.  2. I completed 4 years on 15th June’2020, will  [...] ween your service, you will not be eligible reward


Source 3:
- Document: IT Policy.pdf
- Page: 3
- Chunk Index: 7
- Snippet:
Disclaimer:
The applicability, eligibility of the [...]  immediately, upon receipt
of notice of the same.


Source 4:
- Document: Staff Loan Policy.pdf
- Page: 2
- Chunk Index: 29
- Snippet:
reserve the right of denial based on the outcome o [...] or the Quarter Jul’22 – Sep’22)(Dated 21-Jul-2022)",Accurate Response,The application could fetch the exact expected answer that we required along with the sources.
"I broke my laptop screen, What procedure should I follow now?",IT Policy,"Answer:
If you have broken your laptop screen, you should inform the System Admin team immediately within 1 business day at systemadmin@ideas2it.com, copying your reporting manager. The System Admin team will determine the cost of repair based on the asset value, date of purchase, etc. You may be required to bear the cost of repair at actuals as screen damage is not covered under warranty. The recovery amount can be transferred to Ideas2IT Technology Services Private Limited bank account or recovered through your monthly payroll. (Source: Laptop Security Best Practices, Physical Security section, page 3)

Source References:

Source 1:
- Document: IT Policy.pdf
- Page: 2
- Chunk Index: 4
- Snippet:
• Employees have to bear the expenses towards brok [...]  should never be left
unattended in any location.


Source 2:
- Document: Rewards and Recognition Policy.pdf
- Page: 3
- Chunk Index: 20
- Snippet:
Internal
 3


Source 3:
- Document: Staff Loan Policy.pdf
- Page: 1
- Chunk Index: 25
- Snippet:
completed a minimum of one year as on the date of  [...]  which will be deducted from the salary along with


Source 4:
- Document: IT Policy.pdf
- Page: 1
- Chunk Index: 2
- Snippet:
used during his/ her employment with Ideas2IT Technology Services Private Limited.
a) Case of damage/broken asset:
• Employees shall inform System Admin  about the damaged/broken asset immediately
(within 1 business day) at systemadmin@ideas2it.com, marking copy to his/her reporting
manager.",Accurate Response,The application could fetch the exact expected answer that we required along with the sources.
"I have got 1 Lakh of Loan from Ideas2IT, What happens if I fail to repay within 1 year?",Staff Loan Policy,"Answer:
If you fail to repay the 1 Lakh loan from Ideas2IT within 1 year, the management reserves the right to take legal action against you. This is stated in the loan policy where it mentions that in case of any defaults in repayment of loans, management reserves the rights to take legal action against the borrower. Additionally, the loan recovery period is a maximum of 12 EMIs (12 months), and any installments greater than 12 months will attract an interest rate of 10.25%. This information can be found in the loan disbursement and repayment details section of the policy.

Reference:
Internal Policy Document of Ideas2IT Technology Services Private Limited

Source References:

Source 1:
- Document: Staff Loan Policy.pdf
- Page: 1
- Chunk Index: 25
- Snippet:
completed a minimum of one year as on the date of  [...]  which will be deducted from the salary along with


Source 2:
- Document: IT Policy.pdf
- Page: 1
- Chunk Index: 2
- Snippet:
used during his/ her employment with Ideas2IT Technology Services Private Limited.
a) Case of damage/broken asset:
• Employees shall inform System Admin  about the damaged/broken asset immediately
(within 1 business day) at systemadmin@ideas2it.com, marking copy to his/her reporting
manager.


Source 3:
- Document: Rewards and Recognition Policy.pdf
- Page: 3
- Chunk Index: 22
- Snippet:
.  2. I completed 4 years on 15th June’2020, will  [...] ween your service, you will not be eligible reward


Source 4:
- Document: Staff Loan Policy.pdf
- Page: 2
- Chunk Index: 29
- Snippet:
reserve the right of denial based on the outcome o [...] or the Quarter Jul’22 – Sep’22)(Dated 21-Jul-2022)",Accurate Response,The application could fetch the exact expected answer that we required along with the sources.
